,Unnamed: 0,X,Y,class,ID,X_utm,Y_utm,B1,B2,B3,B4,B5,B6,B7,NDVI,NDWI,NDBI
92,116,75.9172495637765,26.9315877483462,3.0,117,591062.4049899182,2979188.154201599,7757,8087,9261,8718,19346,12380,9959,0.3787058152793601,1.9383717271996297,1.8461199016579404
93,120,75.90031555176,26.892685104343,1.0,121,589411.8027030899,2974866.986848648,7779,8196,8969,8883,13976,12014,10045,0.2228006474473939,2.6380039224231746,2.4460946517891404
94,210,75.7482755189733,26.8997291688358,4.0,211,574307.2870724396,2975548.941937244,8242,9123,10575,11264,13576,14686,13838,0.0930756843800318,2.5893337749989542,0.0392753520628404
95,241,75.7568061178867,26.9183450433414,1.0,242,575142.1178714256,2977615.9360512425,8069,8296,9319,8859,15134,11864,9850,0.2615346142624921,2.44227702122438,2.306318986591591
96,104,75.9392256023566,26.9320096269228,2.0,105,593243.9027551645,2979250.895704253,7477,7669,8145,7978,8108,7864,7712,0.0080815616063657,0.0022765027994831,4.087903831705459
97,271,75.8219105620114,27.0161966307404,2.0,272,581535.9791813601,2988494.8317964133,8055,8406,9415,8951,8455,8144,7935,3.7366425370561664,0.0537213206491323,3.9294535815410336
98,237,75.7486424805936,26.893009184163,3.0,238,574348.1292197013,2974804.830344424,7945,8463,9463,9459,15965,13424,11406,0.2558999370673369,2.321613968853224,2.143489060532845
99,249,75.7538896655588,26.9284751362097,3.0,250,574845.8524524678,2978736.2541285367,9456,10011,11586,12085,20565,18791,14858,0.2597243491577327,1.7591054710584375,1.6201341599756032
100,168,75.8648210366534,26.8933532945682,4.0,169,585886.11672357,2974916.435556454,8473,9351,10836,11407,13409,14783,13876,0.0806737588652479,2.5969478242936583,0.0487372304199771
101,236,75.748234235791,26.8936146708366,3.0,237,574307.1886311797,2974871.6563770445,8162,8493,9605,9883,14484,12728,11297,0.1888209463618821,2.518037278425828,2.343818903424951
102,274,75.8213335602331,27.0171033478206,2.0,275,581478.0825295628,2988594.892500195,8291,8706,9652,9400,9837,10534,9855,0.0227166398087018,3.353224896095216,0.0342153060723576
103,275,75.8226936358533,27.0162790595658,2.0,276,581613.6060434798,2988504.4686158434,7988,8368,9413,8958,8484,8242,8028,3.730191491801378,0.0519081410292224,3.903742676073157
104,181,75.7521836602301,26.8969219124401,4.0,182,574697.2440200282,2975240.300352204,8981,9848,11481,12171,13706,14398,13794,0.0593190864474241,2.5136379878508657,0.0246228294904639
105,192,75.7548991762207,26.896343947888,3.0,193,574967.3051313865,2975177.8876975123,8278,8615,9465,9759,13925,13377,11639,0.1758993413274777,2.611201368106017,2.380338436744552
106,158,75.8691301084895,26.8909500876609,4.0,159,586315.900353286,2974653.173503505,8979,9927,11335,12653,14646,15047,13870,0.0730063372284696,2.395019437281081,0.0135048664668439
107,16,75.8106302347825,26.9045090574612,3.0,17,580496.2511811216,2976116.4982785718,8571,8732,9562,9473,15104,13166,11207,0.2291166537819903,2.432254925808796,2.2496639547223127
108,201,75.7505231588979,26.8969953047641,4.0,202,574532.290509688,2975247.451179615,9571,10405,11490,12240,14506,14824,13261,0.0847229492260521,2.404985382366509,0.0108421411524036
109,293,75.8122114582766,26.9894631302898,1.0,294,580592.8209633022,2985527.440031012,8649,8853,9309,9881,16010,15612,12490,0.2367231856629708,2.3237489632291863,2.059895009803295
110,300,75.8634262508914,26.9457867821115,1.0,301,585707.9655839768,2980723.3072080505,8138,8419,9406,9218,15061,13214,10708,0.240660653239424,2.447418972493553,2.2524845269672777
111,167,75.8640423058713,26.8945846626174,4.0,168,585807.8463442406,2975052.300233375,8888,9517,10985,11472,14476,14772,13686,0.1157700015415442,2.436864223714692,0.0101203501094091
112,214,75.7497204303534,26.8992154225673,4.0,215,574451.1153466909,2975492.886438164,8732,9429,10873,11582,14674,14676,13670,0.1177635588056058,2.416526402317288,6.814310051107303e-05
113,279,75.8529209001697,26.9858204557584,2.0,280,584635.1708431023,2985150.5960054696,7530,7801,8515,8409,8625,8257,8155,0.0126805213103204,3.81715285880978,3.860206136713637
114,144,75.874770138364,26.8933647955133,1.0,145,586874.2071476303,2974924.495018165,7792,8173,9068,8881,15010,12106,10072,0.2565401197103501,2.4750394551042345,2.30978020356984
115,218,75.7502479376827,26.8992521187293,4.0,219,574503.4772518729,2975497.2612763927,10194,11089,12059,12834,14911,14787,13424,0.0748603351955304,2.3242120875046264,2.2025725638090035
116,50,75.7842735202844,26.8444264685525,4.0,51,577920.08932924,2969445.0607794933,10039,10448,11688,12286,14958,16203,15045,0.0980766407282333,2.336786009157088,0.0399537883893326
117,30,75.8108975488682,26.8726376076077,1.0,31,580545.3941468655,2972586.4573584814,8067,8322,9096,8923,15618,12098,9985,0.2728087689988172,2.3878773165007594,2.237552316351558
