,X,Y,class,ID,X_utm,Y_utm,B1,B2,B3,B4,B5,B6,B7,NDVI,NDWI,NDBI
140,75.8915206397748,26.8955619545909,3.0,141,588536.080501473,2975179.4641796495,10057,10773,12681,14343,16043,18118,17420,0.0559468176133744,2.164531402311648,0.06074178156377137
141,75.8908119714178,26.8918550739544,3.0,142,588468.5877795771,2974768.374471796,8534,8864,9626,10132,13648,15488,13235,0.14785534062237113,2.643035146515414,0.0631521142229542
142,75.8733940518019,26.8936784623032,1.0,143,586737.3008719803,2974958.2952226433,7946,8246,9124,8919,14578,11911,9978,0.24083925607524265,2.5348915703316073,2.3734002793612357
143,75.8746487189614,26.8917357518626,1.0,144,586863.3943427457,2974743.970407484,7809,8098,9090,8672,16007,11849,9697,0.29721625673649543,2.33569749372434,2.2034032165422093
144,75.874770138364,26.8933647955133,1.0,145,586874.2071476303,2974924.495018165,7792,8173,9068,8881,15010,12106,10072,0.2565401197103501,2.4750394551042345,2.3097802035698396
145,75.8723619868803,26.8920696552196,1.0,146,586636.0284931592,2974779.3890576647,7832,8174,9113,8824,15463,11824,9817,0.2733561164408932,2.4082845052083237,2.2683695532671155
146,75.8763384723134,26.8910780634322,4.0,147,587031.7194546266,2974672.281376269,8950,9420,10217,10553,12699,14143,13123,0.0922931360743158,2.7515273171583057,0.05379628939721313
147,75.8737178368753,26.890926289179,5.0,148,586771.5604718253,2974653.6720829215,9255,9916,10975,11784,13388,13720,13075,0.06372159542348617,2.5909370767146798,0.012247307068024155
148,75.8716537070321,26.8914929130575,5.0,149,586566.1241778509,2974715.0218597664,9596,10201,11296,11797,14047,14227,13201,0.08706082649744588,2.4774099356824273,0.00636627290089833
149,75.8753165256754,26.890592385822,5.0,150,586930.5940101859,2974617.783420575,8860,9640,10891,11693,14454,14604,13545,0.10559528817837571,2.445176563424729,0.005162089613875679
150,75.8771681715641,26.8900257619435,5.0,151,587114.9302742225,2974556.2933584154,9208,9759,11202,11812,14103,14487,13641,0.08840439899671972,2.475202529144428,0.013431269674711392
151,75.8739606756804,26.8902787190322,5.0,152,586796.1735310212,2974582.1102614864,8140,8758,9832,10069,14331,12950,11406,0.1746721311475403,2.5260522286139864,2.351636670210028
152,75.8728274279233,26.8899144608245,5.0,153,586683.8994513045,2974540.9871136565,8117,8957,10767,11705,14367,15101,14278,0.1021018717397971,2.4642317179915554,0.024908375186643055
153,75.8713299219587,26.890126944779,5.0,154,586535.0075646858,2974563.4989877404,9641,10566,12137,12544,14874,15295,14807,0.08498066963308745,2.324941690422412,0.013954721734230456
154,75.8705609324093,26.8911286548499,5.0,155,586457.8703049709,2974673.9283720995,8344,8870,10117,10942,15947,14992,12808,0.18613559448101386,2.2907458563535825,2.0873654610685475
155,75.8702978570371,26.8893883100802,5.0,156,586433.0667748897,2974480.979399678,9180,10134,11765,12948,14777,15793,15273,0.06596934174932348,2.3556627232310965,0.03323519790644412
